scheme,bits,is128,nanos
poly-shift-triple,1472,FALSE,361.4423683404776
poly-shift-triple,1536,FALSE,378.869034989615
poly-shift-triple,1600,FALSE,392.03600432684306
poly-shift-triple,1664,FALSE,408.01542575285566
poly-shift-triple,1728,FALSE,423.8036232925952
poly-shift-triple,1792,FALSE,441.26003168685924
poly-shift-triple,1856,FALSE,456.33240154440153
poly-shift-triple,1920,FALSE,473.49258837627326
poly-shift-triple,1984,FALSE,491.6212938505984
poly-shift-triple,2048,FALSE,511.1323860247124
poly-shift-triple,2112,FALSE,523.1852482425307
poly-shift-triple,2176,FALSE,535.6889135355365
poly-shift-triple,2240,FALSE,551.6326794035415
poly-shift-triple,2304,FALSE,572.6919314641744
poly-shift-triple,2368,FALSE,582.9744113300492
poly-shift-triple,2432,FALSE,598.1383986845434
poly-shift-triple,2496,FALSE,614.5193224299065
poly-shift-triple,2560,FALSE,627.3578002663116
poly-shift-triple,2624,FALSE,650.3186954148472
poly-shift-triple,2688,FALSE,661.0053592395863
poly-shift-triple,2752,FALSE,677.9890380761523
poly-shift-triple,2816,FALSE,690.9765407147042
poly-shift-triple,2880,FALSE,710.8684421809467
poly-shift-triple,2944,FALSE,722.1817758726271
poly-shift-triple,3008,FALSE,741.3046276595744
poly-shift-triple,3072,FALSE,754.0752061361457
preproc-poly,64,FALSE,69.6813581964376
preproc-poly,128,FALSE,75.33809686093879
preproc-poly,192,FALSE,82.0505719078238
preproc-poly,256,FALSE,87.81146675896589
preproc-poly,320,FALSE,93.23850201351216
preproc-poly,384,FALSE,99.78026598506331
preproc-poly,448,FALSE,105.4538677662846
preproc-poly,512,FALSE,111.32770861068215
preproc-poly,576,FALSE,117.23172058471123
preproc-poly,640,FALSE,123.6743599813619
preproc-poly,704,FALSE,129.64213077542652
preproc-poly,768,FALSE,135.2163024203211
preproc-poly,832,FALSE,142.94170560747665
preproc-poly,896,FALSE,148.0524200913242
preproc-poly,960,FALSE,153.80454917623564
preproc-poly,1024,FALSE,160.61655873894983
preproc-poly,1088,FALSE,165.2053366527102
preproc-poly,1152,FALSE,171.74596453390848
preproc-poly,1216,FALSE,179.64248261034527
preproc-poly,1280,FALSE,183.82832512315272
preproc-poly,1344,FALSE,190.3633980989656
preproc-poly,1408,FALSE,201.38713678968952
preproc-poly,1472,FALSE,202.538147581139
preproc-poly,1536,FALSE,208.17528518932738
preproc-poly,1600,FALSE,218.8791995340323
preproc-poly,1664,FALSE,226.06319660782276
preproc-poly,1728,FALSE,240.7567109992811
preproc-poly,1792,FALSE,236.55618452935693
preproc-poly,1856,FALSE,242.38678185328186
preproc-poly,1920,FALSE,251.37233872578392
preproc-poly,1984,FALSE,255.744830788279
preproc-poly,2048,FALSE,268.61416276097145
preproc-poly,2112,FALSE,284.0036181898067
preproc-poly,2176,FALSE,293.70809416025355
preproc-poly,2240,FALSE,295.71913560111835
preproc-poly,2304,FALSE,302.2583824586628
preproc-poly,2368,FALSE,308.1729137931035
preproc-poly,2432,FALSE,313.44923096382496
preproc-poly,2496,FALSE,319.10980789200414
preproc-poly,2560,FALSE,324.89501997336885
preproc-poly,2624,FALSE,330.71489628820956
preproc-poly,2688,FALSE,339.31787531450937
preproc-poly,2752,FALSE,346.09440881763527
preproc-poly,2816,FALSE,349.3450087873463
preproc-poly,2880,FALSE,356.8649610545237
preproc-poly,2944,FALSE,361.84934782608696
preproc-poly,3008,FALSE,369.7578410513142
preproc-poly,3072,FALSE,374.2336689038031
siphash,8,FALSE,17.249086845030483
siphash,16,FALSE,17.106299588647193
siphash,24,FALSE,18.32300946761218
siphash,32,FALSE,15.782440460342395
siphash,40,FALSE,17.645214392391953
siphash,48,FALSE,17.66219849835758
siphash,56,FALSE,18.477866777714357
siphash,64,FALSE,20.533365837748608
siphash,72,FALSE,21.663369850909444
siphash,80,FALSE,21.48624205411522
siphash,88,FALSE,22.071759806703156
siphash,96,FALSE,20.4142229699372
siphash,104,FALSE,21.560823562497298
siphash,112,FALSE,21.831557385642235
siphash,120,FALSE,22.29957678627145
siphash,128,FALSE,24.33867515109561
siphash,136,FALSE,25.4899869870861
siphash,144,FALSE,25.416443965194468
siphash,152,FALSE,26.463624579097967
siphash,160,FALSE,24.430157087230008
siphash,168,FALSE,25.63855430528376
siphash,176,FALSE,25.506661053248155
siphash,184,FALSE,26.352023499693818
siphash,192,FALSE,28.4835462678222
siphash,200,FALSE,29.73980114404576
siphash,208,FALSE,29.554557391943927
siphash,216,FALSE,30.726658803971784
siphash,224,FALSE,29.84851761252446
siphash,232,FALSE,29.962427613164756
siphash,240,FALSE,29.96007288702511
siphash,248,FALSE,30.394380964663398
siphash,256,FALSE,33.140769722303574
siphash,264,FALSE,33.70513975837452
siphash,272,FALSE,33.7126939941724
siphash,280,FALSE,34.606213343428756
siphash,288,FALSE,33.053409016025164
siphash,296,FALSE,34.13651171381954
siphash,304,FALSE,34.277178765650696
siphash,312,FALSE,34.99755816594737
siphash,320,FALSE,37.633049888508005
siphash,328,FALSE,38.134136931159176
siphash,336,FALSE,38.59105535364831
